Id_contenuto,durata_s,data_pubblicazione,tipo_contenuto,like,condivisioni,commenti,salvataggi,copertura,follower
18017036195194945,0,07/30/2024 09:30,Carosello di Instagram,67,2,0,11,4451,0
18042720595928241,151,07/29/2024 08:18,Reel di Instagram,1163,42,19,72,16162,22
18023126522085143,0,07/27/2024 22:30,Immagine di Instagram,284,46,10,48,10682,1
17922077357942286,0,07/26/2024 22:30,Carosello di Instagram,330,10,11,106,8327,7
18032480267142544,76,07/26/2024 10:06,Reel di Instagram,1116,134,45,62,21261,33
17874954369109780,0,07/24/2024 22:30,Immagine di Instagram,903,80,5,60,16040,2
17937860666853124,72,07/24/2024 10:11,Reel di Instagram,88,2,1,1,4315,3
17948669531821322,0,07/22/2024 22:30,Immagine di Instagram,23,0,0,2,3117,0
18015720734438049,156,07/22/2024 09:25,Reel di Instagram,893,19,9,141,13368,20
17936089190856475,0,07/21/2024 02:30,Immagine di Instagram,157,13,0,38,5981,3
18009568427317652,0,07/20/2024 22:30,Immagine di Instagram,284,0,6,5,5289,0
18233533918275638,0,07/19/2024 22:30,Immagine di Instagram,137,4,1,8,3063,0
18070659697539143,53,07/19/2024 10:40,Reel di Instagram,121,3,7,2,4017,2
18036104315008422,0,07/18/2024 06:42,Immagine di Instagram,45,3,0,0,4032,0
18077486464502789,0,07/17/2024 22:30,Immagine di Instagram,482,34,5,18,11886,0
18012016331278405,192,07/17/2024 08:42,Reel di Instagram,296,2,8,23,6551,2
18011561102283730,0,07/17/2024 01:22,Immagine di Instagram,184,24,1,22,6816,2
18027489485327838,0,07/15/2024 22:30,Carosello di Instagram,51,4,0,6,3131,0
17857259268208188,38,07/15/2024 08:08,Reel di Instagram,184,4,1,0,7908,3
18056149456729361,0,07/13/2024 22:30,Immagine di Instagram,162,26,0,13,6375,0
18027183395230858,0,07/12/2024 22:30,Immagine di Instagram,340,14,18,20,6630,2
18023670608062215,52,07/12/2024 07:14,Reel di Instagram,132,2,1,8,4046,0
18006895964613540,0,07/10/2024 22:30,Immagine di Instagram,755,29,0,28,18076,1
18447239710005901,89,07/10/2024 06:01,Reel di Instagram,123,2,1,4,7001,1
18096822067428120,0,07/09/2024 10:34,Immagine di Instagram,45,1,1,1,2313,0
18063803680520840,0,07/08/2024 22:30,Carosello di Instagram,157,13,1,23,4645,0
17849903526239111,38,07/08/2024 09:07,Reel di Instagram,146,7,4,2,5345,1
17898834282008615,0,07/07/2024 02:27,Immagine di Instagram,200,17,1,46,7103,1
17979773042578729,0,07/05/2024 22:30,Immagine di Instagram,203,7,1,8,3601,2
18075845023505884,176,07/05/2024 06:25,Reel di Instagram,643,16,7,177,12379,16
18063258688605591,0,07/03/2024 22:30,Immagine di Instagram,497,48,10,16,12168,2
18013567517386283,86,07/03/2024 09:13,Reel di Instagram,156,0,3,3,5556,4
17951901338796975,0,07/01/2024 22:30,Carosello di Instagram,38,2,0,4,3240,1
18010818761278573,75,07/01/2024 09:39,Reel di Instagram,42,1,0,7,2612,0
17946241577714367,0,07/01/2024 00:58,Carosello di Instagram,101,1,0,0,2700,1
18111594604391782,0,07/01/2024 00:43,Carosello di Instagram,262,4,4,2,6784,3
18079574917526852,0,10/01/2024 07:33,Carosello di Instagram,75,6,0,3,3538,1
18025757936541999,119,12/29/2024 22:30,Reel di Instagram,273,2,2,17,8047,6
17883855279190274,0,12/27/2024 22:30,Immagine di Instagram,148,3,1,6,4120,0
18374836831115089,0,12/25/2024 22:30,Immagine di Instagram,676,32,1,17,13607,0
18449446066069489,0,12/24/2024 03:01,Immagine di Instagram,106,2,0,22,6074,0
18033673514153205,116,12/23/2024 23:30,Reel di Instagram,3209,152,303,356,98420,230
18032811014525520,0,12/23/2024 22:30,Immagine di Instagram,549,8,7,3,9052,1
18040618103256397,129,12/22/2024 22:39,Reel di Instagram,236,14,21,0,6304,16
18339909163145093,0,12/21/2024 22:30,Immagine di Instagram,846,25,13,65,16688,4
18041506184211055,62,12/19/2024 22:30,Reel di Instagram,372,8,10,15,8258,5
17994395513730028,0,12/18/2024 22:30,Immagine di Instagram,1175,87,12,32,18413,3
18056632333937239,0,12/16/2024 22:39,Carosello di Instagram,382,47,16,0,7627,6
18050930531493464,132,12/15/2024 22:30,Reel di Instagram,893,106,14,149,20656,10
18041239829261278,0,12/14/2024 22:30,Immagine di Instagram,271,18,1,17,7258,0
17890640910134265,0,12/11/2024 22:30,Immagine di Instagram,181,18,1,8,6365,0
18044616146135198,139,12/10/2024 22:30,Reel di Instagram,684,27,14,34,8885,9
